"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p50"
34003006100,"Cliffside Park, NJ",62170
36061020101,"Upper Manhattan, New York, NY",62154
36081152902,"Queens County, NY",62145
34013020100,"Essex County, NJ",62121
36047075800,"Kings County, NY",62074
36059410100,"Malverne, NY",62043
36059406300,"Garden City, NY",62009
34039032902,"Union, NJ",61968
36081066300,"Queens County, NY",61954
36081080301,"Queens County, NY",61943
36047029600,"Kings County, NY",61928
36047045000,"Kings County, NY",61890
34039036900,"Garwood, NJ",61889
36047041402,"Kings County, NY",61825
36085019800,"Richmond County, NY",61821
36047057400,"Kings County, NY",61764
36081150701,"Queens County, NY",61763
36059302000,"Roslyn, NY",61623
36081012100,"Queens County, NY",61603
36081119500,"Queens County, NY",61601
34013006900,"Ironbound District, Newark, NJ",61584
36081120700,"Queens County, NY",61582
36047058200,"Kings County, NY",61581
36081111300,"Queens County, NY",61579
36059303500,"Mineola, NY",61575
36085015100,"Richmond County, NY",61420
36081074700,"Queens County, NY",61409
34003012002,"East Rutherford, NJ",61399
36061011201,"Midtown, New York, NY",61396
36059300400,"Great Neck, NY",61369
36059416201,"Island Park, NY",61349
36059404300,"Bellerose Terrace, Floral Park, NY",61306
36061001600,"Chinatown, New York, NY",61263
36047029800,"Kings County, NY",61180
36081099100,"Queens County, NY",61121
36081119900,"Queens County, NY",61089
36059517901,"Bayville, NY",61068
36047042600,"Kings County, NY",61063
36081066100,"Queens County, NY",61036
36059303302,"Williston Park, NY",61036
36059301500,"Plandome, NY",61020
36047055400,"Kings County, NY",61008
36119005500,"Pelham, Pelham Manor, NY",60975
34031223802,"Totowa, NJ",60941
36047070600,"Kings County, NY",60891
36059303400,"East Williston, NY",60888
36085025100,"Richmond County, NY",60860
36047058400,"Kings County, NY",60857
36059517705,"Glen Head, NY",60836
36081093401,"Queens County, NY",60832
34013021601,"Fairfield, NJ",60828
34003048200,"River Edge, NJ",60816
36059413200,"Oceanside, NY",60814
36059404400,"Floral Park, NY",60806
36081073100,"Queens County, NY",60733
36047075600,"Kings County, NY",60710
36059411901,"Lynbrook, NY",60682
36005024400,"Bronx County, NY",60634
36081115700,"Queens County, NY",60633
36005029301,"Bronx County, NY",60619
36059410000,"Valley Stream, NY",60609
36081063500,"Queens County, NY",60605
34003031200,"Lyndhurst, NJ",60603
36081119100,"Queens County, NY",60571
36081104700,"Queens County, NY",60558
36059413803,"Baldwin, NY",60557
36005045101,"Bronx County, NY",60556
34031154001,"Little Falls, NJ",60545
34003019103,"Fort Lee, NJ",60537
36047061004,"Kings County, NY",60513
36005031400,"Bronx County, NY",60475
36119005300,"Pelham, Village of Pelham, NY",60461
34013000500,"Upper Roseville, Newark, NJ",60417
36081049700,"Queens County, NY",60403
36047056200,"Kings County, NY",60381
36059411302,"Woodmere Park, Woodmere, NY",60371
36047054800,"Kings County, NY",60352
36059304002,"Westbury, NY",60350
36047039000,"Kings County, NY",60343
36059301200,"Port Washington, NY",60297
36059406600,"Mott Section, Garden City, NY",60282
36047035601,"Kings County, NY",60268
34017019800,"Secaucus, NJ",60239
36047017800,"Kings County, NY",60225
36059302900,"North New Hyde Park, NY",60193
34023001902,"Edison, NJ",60187
36081107201,"Queens County, NY",60144
34003052100,"Saddle Brook, NJ",60141
34003045100,"Ridgefield, NJ",60126
34003051400,"Rutherford, NJ",60122
34031124312,"Clifton, NJ",60080
34013007200,"Ironbound District, Newark, NJ",60072
34039033500,"Union, NJ",60044
36085012200,"Richmond County, NY",60006
34023001416,"Edison, NJ",59993
36081088901,"Queens County, NY",59986
34003045200,"Ridgefield, NJ",59969
34003019204,"Fort Lee, NJ",59964
36081108500,"Queens County, NY",59960
34003041302,"Palisades Park, NJ",59942
34003019304,"Fort Lee, NJ",59935
36081010100,"Queens County, NY",59918
34031124401,"Clifton, NJ",59918
34013007600,"North Ironbound, Newark, NJ",59911
36059410700,"Valley Stream, NY",59902
34039036700,"Westfield, NJ",59894
36085018901,"Richmond County, NY",59888
36047005201,"Kings County, NY",59853
34013013800,"Nutley, NJ",59805
34039037000,"Cranford, NJ",59796
36047030600,"Kings County, NY",59793
36047063600,"Kings County, NY",59782
36047020600,"Kings County, NY",59758
36061004100,"Lower Manhattan, New York, NY",59744
34039037602,"Springfield Township, NJ",59741
36081070700,"Queens County, NY",59726
34003029200,"Little Ferry, NJ",59720
36061007200,"Kips Bay, New York, NY",59708
36061011800,"Lenox Hill, New York, NY",59682
34023001410,"Edison, NJ",59670
34017012400,"Kearny, NJ",59667
36047015000,"Kings County, NY",59629
36047027000,"Kings County, NY",59603
34031124602,"Clifton, NJ",59600
34003003401,"Bergenfield, NJ",59586
36081015100,"Queens County, NY",59570
36081029500,"Queens County, NY",59539
34039033800,"Roselle Park, NJ",59535
34017013800,"Harrison, NJ",59518
36047049600,"Kings County, NY",59502
36085027301,"Richmond County, NY",59497
36081157102,"Queens County, NY",59483
36059411800,"Lynbrook, NY",59476
36081074100,"Queens County, NY",59466
36047064200,"Kings County, NY",59447
34027040803,"Pine Brook, Montville, NJ",59365
36047053800,"Kings County, NY",59362
34003051200,"Rutherford, NJ",59346
36081071304,"Queens County, NY",59330
36085009601,"Richmond County, NY",59325
36047045800,"Kings County, NY",59319
36059301900,"Manhasset, NY",59319
36061015001,"Upper East Side, New York, NY",59317
36005045102,"Bronx County, NY",59299
36085017005,"Richmond County, NY",59291
36085020803,"Richmond County, NY",59288
36059517400,"Sea Cliff, NY",59280
36085013800,"Richmond County, NY",59266
36061007400,"Midtown, New York, NY",59261
34003033100,"Maywood, NJ",59250
36047049700,"Kings County, NY",59224
34003013001,"Edgewater, NJ",59223
36005028800,"Bronx County, NY",59221
36085027706,"Richmond County, NY",59190
36059517000,"Glen Cove, NY",59179
36047059401,"Kings County, NY",59172
34017012500,"Kearny, NJ",59170
36085015601,"Richmond County, NY",59150
36047059402,"Kings County, NY",59139
36047013200,"Kings County, NY",59126
36047059200,"Kings County, NY",59114
36047058800,"Kings County, NY",59107
36047027400,"Kings County, NY",59103
34013007000,"Ironbound District, Newark, NJ",59102
34013013400,"Nutley, NJ",59096
36081146700,"Queens County, NY",59077
36047054400,"Kings County, NY",59074
34017013400,"East Newark, NJ",59067
36047025600,"Kings County, NY",59064
36059411200,"Cedarhurst, NY",59020
36081079702,"Queens County, NY",59008
36085018902,"Richmond County, NY",58998
36085027704,"Richmond County, NY",58973
36081071701,"Queens County, NY",58955
36081083700,"Queens County, NY",58933
36081063302,"Queens County, NY",58932
36047075200,"Kings County, NY",58924
34023002102,"Metuchen, NJ",58825
36047006600,"Kings County, NY",58805
36047066200,"Kings County, NY",58804
36081134100,"Queens County, NY",58798
34027040801,"Montville, NJ",58795
36047024600,"Kings County, NY",58791
34013020500,"Livingston, NJ",58776
34039038300,"Mountainside, NJ",58741
36047026800,"Kings County, NY",58674
36047055600,"Kings County, NY",58614
36047029200,"Kings County, NY",58608
36081062500,"Queens County, NY",58600
36081092900,"Queens County, NY",58592
36005029700,"Bronx County, NY",58570
34039037601,"Springfield Township, NJ",58564
36059416900,"Lido Beach, NY",58541
36081071306,"Queens County, NY",58538
34013007300,"Ironbound District, Newark, NJ",58533
36081013700,"Queens County, NY",58525
36047045200,"Kings County, NY",58525
36047031400,"Kings County, NY",58497
36081001900,"Queens County, NY",58480
36085020804,"Richmond County, NY",58440
36081114700,"Queens County, NY",58438
36081025301,"Queens County, NY",58428
34013014200,"Belleville, NJ",58422
36081144100,"Queens County, NY",58421
36081072100,"Queens County, NY",58411
34013014000,"Belleville, NJ",58403
36081118900,"Queens County, NY",58381
36047030200,"Kings County, NY",58361
34003003402,"Bergenfield, NJ",58314
36047005202,"Kings County, NY",58311
36085022600,"Richmond County, NY",58310
34003051100,"Rutherford, NJ",58294
34003025200,"Hasbrouck Heights, NJ",58274
36047028800,"Kings County, NY",58261
36047043600,"Kings County, NY",58166
36081098100,"Queens County, NY",58115
34013021400,"Cedar Grove, NJ",58109
36081058700,"Queens County, NY",58100
34017019300,"Hoboken, NJ",58097
34003050000,"Rochelle Park, NJ",58089
36081130100,"Queens County, NY",58084
