"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p75"
36081089200,"Queens County, NY",71540
36047048100,"Kings County, NY",71515
36059412100,"East Rockaway, NY",71490
34013007400,"Newark, NJ",71482
36059300500,"Great Neck, NY",71468
36059411302,"Woodmere Park, Woodmere, NY",71455
34013013800,"Nutley, NJ",71447
36081102900,"Queens County, NY",71433
34003019103,"Fort Lee, NJ",71431
36059413804,"Baldwin, NY",71430
34013007200,"Ironbound District, Newark, NJ",71389
36047039200,"Kings County, NY",71367
34039036900,"Garwood, NJ",71342
36047020400,"Kings County, NY",71315
36081063301,"Queens County, NY",71297
36047005202,"Kings County, NY",71291
36085020804,"Richmond County, NY",71282
36047029600,"Kings County, NY",71265
36081109900,"Queens County, NY",71253
36059413400,"Oceanside, NY",71206
34027041902,"East Hanover, NJ",71168
36005030900,"Bronx County, NY",71164
36081009500,"Queens County, NY",71163
36081060100,"Queens County, NY",71159
36059303400,"East Williston, NY",71153
36047037401,"Kings County, NY",71129
36059411800,"Lynbrook, NY",71103
36059301102,"Port Washington, NY",71071
36081119900,"Queens County, NY",71070
36047054400,"Kings County, NY",71042
36081114100,"Queens County, NY",71022
36047042600,"Kings County, NY",71016
36059302900,"North New Hyde Park, NY",71013
36059302000,"Roslyn, NY",71012
36081058700,"Queens County, NY",70998
34017018100,"Weehawken, NJ",70982
36047021200,"Kings County, NY",70943
36081122300,"Queens County, NY",70942
36081029500,"Queens County, NY",70887
34023001415,"Edison, NJ",70791
34003006100,"Cliffside Park, NJ",70752
36081094500,"Queens County, NY",70740
34027041901,"East Hanover, NJ",70738
36081047300,"Queens County, NY",70703
36059404400,"Floral Park, NY",70682
36085019700,"Richmond County, NY",70674
36005031000,"Bronx County, NY",70657
36059405500,"Franklin Square, NY",70635
36081013700,"Queens County, NY",70586
36047010400,"Kings County, NY",70584
34003031200,"Lyndhurst, NJ",70540
36059301500,"Plandome, NY",70532
34013007600,"North Ironbound, Newark, NJ",70527
36081119500,"Queens County, NY",70486
36047006300,"Kings County, NY",70478
34013020902,"Roseland, NJ",70458
36047020800,"Kings County, NY",70366
36061001402,"Lower Manhattan, New York, NY",70360
36059406300,"Garden City, NY",70342
36047017000,"Kings County, NY",70331
36081011200,"Queens County, NY",70299
34027040803,"Pine Brook, Montville, NJ",70254
36081133900,"Queens County, NY",70239
34017012500,"Kearny, NJ",70218
34013007300,"Ironbound District, Newark, NJ",70180
36047056200,"Kings County, NY",70162
36047070600,"Kings County, NY",70158
36085009601,"Richmond County, NY",70149
36085005900,"Richmond County, NY",70126
36047059300,"Kings County, NY",70098
36059302102,"Roslyn Heights, NY",70089
36081141700,"Queens County, NY",70083
36047055000,"Kings County, NY",70078
34013021300,"Cedar Grove, NJ",70054
36059412000,"Lynbrook, NY",70003
36059300400,"Great Neck, NY",69999
36081092900,"Queens County, NY",69970
36081064500,"Queens County, NY",69943
36085013800,"Richmond County, NY",69928
36081150702,"Queens County, NY",69925
34003012002,"East Rutherford, NJ",69901
36005025000,"Bronx County, NY",69900
36059304002,"Westbury, NY",69853
36059301200,"Port Washington, NY",69836
36047014000,"Kings County, NY",69829
36005028600,"Bronx County, NY",69805
34003033100,"Maywood, NJ",69781
36047019800,"Kings County, NY",69777
36081020500,"Queens County, NY",69773
36047069800,"Kings County, NY",69769
36081093402,"Queens County, NY",69720
36081052500,"Queens County, NY",69715
36047075600,"Kings County, NY",69671
36081075702,"Queens County, NY",69643
36047064400,"Kings County, NY",69635
36059300300,"Great Neck, NY",69592
34031124312,"Clifton, NJ",69589
36059405400,"Elmont, NY",69585
34023002102,"Metuchen, NJ",69580
34039036301,"Clark, NJ",69573
36085027900,"Richmond County, NY",69570
36047058400,"Kings County, NY",69551
36081004001,"Queens County, NY",69505
34003045100,"Ridgefield, NJ",69500
36047029000,"Kings County, NY",69473
36059413200,"Oceanside, NY",69430
36059301900,"Manhasset, NY",69423
36061015001,"Upper East Side, New York, NY",69414
36059412302,"Rockville Centre, NY",69398
36047048500,"Kings County, NY",69390
36081092200,"Queens County, NY",69371
36047005602,"Kings County, NY",69366
34017018600,"Hoboken, NJ",69363
34003048200,"River Edge, NJ",69363
36081114700,"Queens County, NY",69362
36119005300,"Pelham, Village of Pelham, NY",69356
36047027600,"Kings County, NY",69333
36081139900,"Queens County, NY",69326
36059410700,"Valley Stream, NY",69324
36081152902,"Queens County, NY",69322
36059410200,"Malverne, NY",69307
36061020300,"Upper Manhattan, New York, NY",69290
36081024500,"Queens County, NY",69277
36047027000,"Kings County, NY",69276
36081084602,"Queens County, NY",69275
36081016100,"Queens County, NY",69262
36081113300,"Queens County, NY",69252
34013013400,"Nutley, NJ",69250
36047013000,"Kings County, NY",69248
36081107201,"Queens County, NY",69241
36059302600,"Floral Park, NY",69239
