"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p75"
24005451100,"Essex, MD",44982
24005420100,"Dundalk, MD",44950
24005451500,"Middle River, MD",44916
24005440702,"Rosedale, MD",44683
24510080101,"Belair - Edison, Baltimore, MD",44627
24003751102,"Glen Burnie, MD",44540
24005490400,"Towson, MD",44534
24510272007,"Fallstaff, Baltimore, MD",44381
24510260401,"Armistead Gardens, Baltimore, MD",44347
24510250303,"Morrell Park, Baltimore, MD",44340
24003750803,"Glen Burnie, MD",44248
24005403100,"Gwynn Oak, Pikesville, MD",44049
24005450504,"Essex, MD",44046
24510250206,"Morrell Park, Baltimore, MD",44044
24510271503,"Cross Keys, Baltimore, MD",43697
24005403402,"Pikesville, MD",43584
24510010500,"Upper Fells Point, Baltimore, MD",43388
24510270301,"Lauraville, Baltimore, MD",43338
24510250401,"Brooklyn, Baltimore, MD",43192
24510250203,"Cherry Hill, Baltimore, MD",42923
24005421300,"Dundalk, MD",42887
24003750203,"Baltimore, MD",42711
24003750101,"Brooklyn Park, MD",42682
24510260201,"Frankford, Baltimore, MD",42300
24510270302,"Waltherson, Baltimore, MD",42224
24005402306,"Windsor Mill, Baltimore, MD",42162
24005401301,"Woodlawn, MD",42150
24005440300,"Nottingham, MD",42092
24027601203,"Elkridge, MD",42058
24005492300,"Essex, MD",41861
24005402603,"Randallstown, MD",41758
24510120100,"Tuscany - Canterbury, Baltimore, MD",41750
24003750102,"Baltimore, MD",41630
24510230300,"South Baltimore, Baltimore, MD",41533
24510271101,"Radnor - Winston, Baltimore, MD",41432
24005450503,"Essex, MD",41360
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",41227
24510160300,"Sandtown-Winchester, Baltimore, MD",40873
24005420401,"Dundalk, MD",40824
24005421000,"Dundalk, MD",40722
24005401302,"Gwynn Oak, Baltimore, MD",40681
24005401200,"Woodlawn, MD",40658
24005401506,"Windsor Mill, Baltimore, MD",40622
24510020100,"Upper Fells Point, Baltimore, MD",40507
24510272004,"Cheswolde, Baltimore, MD",40402
24005402405,"Gwynn Oak, Baltimore, MD",40330
24510270401,"Glenham-Belford, Baltimore, MD",39943
24510020200,"Upper Fells Point, Baltimore, MD",39912
24005401101,"Woodlawn, MD",39839
24510240300,"Riverside, Baltimore, MD",39778
24510250101,"Beechfield, Baltimore, MD",39776
24510280301,"Gwynn Oak, Baltimore, MD",39500
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",39450
24510200600,"Baltimore, MD",39220
24005402403,"Gwynn Oak, Baltimore, MD",39168
24005403201,"Gwynn Oak, Lochearn, MD",39035
24510260102,"Frankford, Baltimore, MD",38992
24510070100,"Baltimore, MD",38981
24510120300,"Harwood, Baltimore, MD",38709
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",38572
24510260302,"Belair - Edison, Baltimore, MD",38379
24510190300,"Mount Clare, Baltimore, MD",38158
24510270801,"Idlewood, Baltimore, MD",38034
24510250500,"Curtis Bay, Baltimore, MD",38017
24510180200,"Poppleton, Baltimore, MD",38002
24510210200,"Pigtown, Baltimore, MD",37791
24510060300,"Butchers Hill, Baltimore, MD",37624
24005401102,"Gwynn Oak, Woodlawn, MD",37591
24510090400,"Better Waverly, Baltimore, MD",37552
24510271900,"Glen, Baltimore, MD",37516
24005402604,"Randallstown, MD",37499
24510180300,"Hollins Market, Baltimore, MD",37438
24005402407,"Windsor Mill, Milford Mill, MD",37134
24510140100,"Bolton Hill, Baltimore, MD",36998
24510280401,"Baltimore, MD",36963
24005402304,"Gwynn Oak, Baltimore, MD",36904
24510270802,"Ramblewood, Baltimore, MD",36692
24005401507,"Windsor Mill, Baltimore, MD",36636
24510270903,"Hillen, Baltimore, MD",36425
24510250205,"Lakeland, Baltimore, MD",36115
24510130400,"Woodbrook, Baltimore, MD",35768
24510150702,"Walbrook, Baltimore, MD",35691
24510060200,"Baltimore, MD",35684
24005402305,"Lochearn, Pikesville, MD",35575
24510280404,"Irvington, Baltimore, MD",35382
24510040100,"Downtown, Baltimore, MD",35312
24005402404,"Gwynn Oak, Lochearn, MD",35310
24510150800,"Garwyn Oaks, Baltimore, MD",35119
24510200800,"Irvington, Baltimore, MD",35077
24510080500,"Darley Park, Baltimore, MD",35055
24510260301,"Belair - Edison, Baltimore, MD",34990
24510130805,"Cold Springs, Baltimore, MD",34979
24510190200,"Pratt Monroe, Baltimore, MD",34473
24510160200,"Sandtown-Winchester, Baltimore, MD",34441
24510160600,"Mosher, Baltimore, MD",34388
24510280302,"West Forest Park, Baltimore, MD",34337
24510260202,"Parkside, Baltimore, MD",34310
24510260402,"Frankford, Baltimore, MD",34086
24005403202,"Gwynn Oak, Baltimore, MD",34082
24510200701,"Allendale, Baltimore, MD",34031
24510180100,"Poppleton, Baltimore, MD",33974
24510150400,"Mondawmin, Baltimore, MD",33973
24005402406,"Windsor Mill, Milford Mill, MD",33970
24510280200,"Gwynn Oak, Baltimore, MD",33958
24510270901,"New Northwood, Baltimore, MD",33939
24510270902,"Perring Loch, Baltimore, MD",33872
24510280402,"Rognel Heights, Baltimore, MD",33864
24510150200,"Sandtown-Winchester, Baltimore, MD",33856
24510080700,"Broadway East, Baltimore, MD",33818
24510090500,"Better Waverly, Baltimore, MD",33788
24510120700,"Remington, Baltimore, MD",33723
24510080400,"Broadway East, Baltimore, MD",33553
24510200300,"Bentalou-Smallwood, Baltimore, MD",33543
24510270805,"Mid-Govans, Baltimore, MD",33336
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",33296
24005402303,"Windsor Mill, Baltimore, MD",33168
24510260404,"Baltimore Highlands, Baltimore, MD",32990
24510200500,"Mill Hill, Baltimore, MD",32889
24510250102,"Yale Heights, Baltimore, MD",32824
24510030200,"Little Italy, Baltimore, MD",32807
24510250207,"Cherry Hill, Baltimore, MD",32759
24510090900,"Oliver, Baltimore, MD",32757
24510150900,"Windsor Hills, Baltimore, MD",32586
24510270803,"Loch Raven, Baltimore, MD",32570
24510080102,"Belair - Edison, Baltimore, MD",32522
24510150500,"Burleith-Leighton, Baltimore, MD",32457
24005402307,"Pikesville, MD",32365
24510151100,"East Arlington, Baltimore, MD",32055
24510070200,"Madison - Eastend, Baltimore, MD",31899
24510280102,"Gwynn Oak, Baltimore, MD",31577
24510271700,"Central Park Heights, Baltimore, MD",31138
24510150701,"Hanlon Longwood, Baltimore, MD",30961
24510080302,"Berea, Baltimore, MD",30846
24005452300,"Baltimore, MD",30694
24510271801,"Arlington, Baltimore, MD",30432
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",30368
24510200100,"Lexington, Baltimore, MD",30351
24510151200,"Park Circle, Baltimore, MD",30230
24510271002,"Winston - Govans, Baltimore, MD",30103
24510060400,"Baltimore, MD",30102
24510120202,"Baltimore, MD",30043
24510130300,"Penn North, Baltimore, MD",30027
24510120400,"Barclay, Baltimore, MD",29947
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",29845
24510160801,"Edmondson, Baltimore, MD",29791
24510160802,"Edmondson, Baltimore, MD",29645
24510210100,"Pigtown, Baltimore, MD",29504
24510170200,"McCulloh Homes, Baltimore, MD",29488
24510080200,"Broadway East, Baltimore, MD",29486
24510080301,"Berea, Baltimore, MD",29481
24510260604,"O'Donnell Heights, Baltimore, MD",29468
24510070400,"Gay Street, Baltimore, MD",29378
24510190100,"Franklin Square, Baltimore, MD",29351
24510260303,"Claremont - Freedom, Baltimore, MD",29347
24510250301,"Westport, Baltimore, MD",29228
24510150600,"NW Community Action, Baltimore, MD",29187
24510151000,"Dorchester, Baltimore, MD",29057
24510271600,"Edgecomb, Baltimore, MD",28764
24510120600,"Old Goucher, Baltimore, MD",28670
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",28618
24510100100,"Johnson Square, Baltimore, MD",28518
24510200702,"Saint Joseph's, Baltimore, MD",28433
24510080800,"Broadway East, Baltimore, MD",28166
24510130200,"Reservoir Hill, Baltimore, MD",28166
24510090800,"East Baltimore Midway, Baltimore, MD",28089
24510260203,"Frankford, Baltimore, MD",28070
24510160700,"Rosemont, Baltimore, MD",27974
24510150300,"Coppin Heights, Baltimore, MD",27705
24510100200,"Baltimore, MD",27674
24510160400,"Midtown Edmondson, Baltimore, MD",27533
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",27487
24510070300,"Milton - Montford, Baltimore, MD",27293
24510060100,"Patterson Park, Baltimore, MD",27196
24510280101,"Reisterstown Station, Baltimore, MD",27059
24510230100,"Baltimore, MD",26758
24510151300,"Central Park Heights, Baltimore, MD",26734
24510110100,"Downtown, Baltimore, MD",26538
24510110200,"Downtown, Baltimore, MD",26101
24510271802,"Langston Hughes, Baltimore, MD",26029
24510150100,"Sandtown-Winchester, Baltimore, MD",25681
24510260403,"Cedonia, Baltimore, MD",25651
24510271001,"Baltimore, MD",25338
24510140300,"Druid Heights, Baltimore, MD",24610
24510200200,"Lexington, Baltimore, MD",24171
24510080600,"Broadway East, Baltimore, MD",23917
24510120500,"Greenmount West, Baltimore, MD",23710
24510280500,"Pleasant View Gardens, Baltimore, MD",23686
24510250204,"Cherry Hill, Baltimore, MD",22903
