"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p50"
24510271102,"Mid-Charles, Baltimore, MD",35696
24003750203,"Baltimore, MD",35613
24003750803,"Glen Burnie, MD",35574
24005401506,"Windsor Mill, Baltimore, MD",35528
24003750201,"Brooklyn, Baltimore, MD",35325
24510270302,"Waltherson, Baltimore, MD",35187
24510170100,"Downtown, Baltimore, MD",35155
24510272003,"Baltimore, MD",35142
24510220100,"Baltimore, MD",35136
24005451500,"Middle River, MD",35118
24005450504,"Essex, MD",35110
24005491401,"Parkville, MD",35017
24005450800,"Essex, MD",34939
24003750101,"Brooklyn Park, MD",34804
24510271101,"Radnor - Winston, Baltimore, MD",34791
24005420303,"Dundalk, MD",34785
24027601203,"Elkridge, MD",34734
24003750102,"Baltimore, MD",34702
24510260101,"Cedmont, Baltimore, MD",34691
24510250401,"Brooklyn, Baltimore, MD",34683
24510272007,"Fallstaff, Baltimore, MD",34592
24510010500,"Upper Fells Point, Baltimore, MD",34592
24005420401,"Dundalk, MD",34581
24510260900,"Baltimore, MD",34489
24005421000,"Dundalk, MD",34474
24510261000,"Patterson Park, Baltimore, MD",34336
24510030100,"Perkins Homes, Baltimore, MD",34267
24510260401,"Armistead Gardens, Baltimore, MD",34174
24510130803,"Medfield, Baltimore, MD",34106
24005401302,"Gwynn Oak, Baltimore, MD",33973
24510270301,"Lauraville, Baltimore, MD",33789
24510270102,"Waltherson, Baltimore, MD",33747
24005402306,"Windsor Mill, Baltimore, MD",33696
24510020200,"Upper Fells Point, Baltimore, MD",33545
24510250206,"Morrell Park, Baltimore, MD",33472
24510250402,"Brooklyn, Baltimore, MD",33411
24005401101,"Woodlawn, MD",33363
24005402407,"Windsor Mill, Milford Mill, MD",33311
24510080101,"Belair - Edison, Baltimore, MD",33304
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",33296
24510270401,"Glenham-Belford, Baltimore, MD",33277
24005402403,"Gwynn Oak, Baltimore, MD",33138
24005450503,"Essex, MD",32987
24005490400,"Towson, MD",32931
24510020100,"Upper Fells Point, Baltimore, MD",32669
24005401507,"Windsor Mill, Baltimore, MD",32607
24005421300,"Dundalk, MD",32498
24510040200,"Downtown, Baltimore, MD",32491
24005402405,"Gwynn Oak, Baltimore, MD",32017
24510240300,"Riverside, Baltimore, MD",31597
24510280301,"Gwynn Oak, Baltimore, MD",31596
24510250101,"Beechfield, Baltimore, MD",31563
24510260201,"Frankford, Baltimore, MD",31497
24005402604,"Randallstown, MD",31488
24510270802,"Ramblewood, Baltimore, MD",31406
24005403201,"Gwynn Oak, Lochearn, MD",31389
24005401102,"Gwynn Oak, Woodlawn, MD",31288
24510140100,"Bolton Hill, Baltimore, MD",31243
24510250203,"Cherry Hill, Baltimore, MD",31228
24510260302,"Belair - Edison, Baltimore, MD",31213
24510230300,"South Baltimore, Baltimore, MD",31116
24510130805,"Cold Springs, Baltimore, MD",30951
24510270801,"Idlewood, Baltimore, MD",30858
24510270903,"Hillen, Baltimore, MD",30770
24510160300,"Sandtown-Winchester, Baltimore, MD",30654
24510280401,"Baltimore, MD",30640
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",30540
24005452300,"Baltimore, MD",30462
24510260102,"Frankford, Baltimore, MD",30329
24510150702,"Walbrook, Baltimore, MD",30306
24005401200,"Woodlawn, MD",30256
24510210200,"Pigtown, Baltimore, MD",30167
24510070100,"Baltimore, MD",30148
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",30132
24510040100,"Downtown, Baltimore, MD",30104
24005402304,"Gwynn Oak, Baltimore, MD",29965
24510271900,"Glen, Baltimore, MD",29888
24510090400,"Better Waverly, Baltimore, MD",29815
24005402406,"Windsor Mill, Milford Mill, MD",29805
24510180300,"Hollins Market, Baltimore, MD",29721
24510180200,"Poppleton, Baltimore, MD",29599
24510200800,"Irvington, Baltimore, MD",29553
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",29551
24510280404,"Irvington, Baltimore, MD",29443
