"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
34027041803,"Parsippany, Parsippany-Troy Hills, NJ",70679
36085005900,"Richmond County, NY",70619
36061014000,"Upper East Side, New York, NY",70593
36085020804,"Richmond County, NY",70576
34027041901,"East Hanover, NJ",70576
34013020100,"Essex County, NJ",70551
36059411301,"Valley Stream, NY",70507
36059301000,"Sands Point, NY",70477
34027040801,"Montville, NJ",70425
34013021803,"West Caldwell, NJ",70405
34023001409,"Edison, NJ",70341
36085013800,"Richmond County, NY",70322
36059405302,"Franklin Square, NY",70316
36081063700,"Queens County, NY",70294
36085013201,"Richmond County, NY",70263
36059408200,"East Meadow, NY",70261
36081103900,"Queens County, NY",70149
34013016000,"Glen Ridge, NJ",70132
36059413300,"Oceanside, NY",70102
36005045102,"Bronx County, NY",70078
34003038300,"North Arlington, NJ",70076
36081059900,"Queens County, NY",70055
34027040805,"Towaco, Montville, NJ",70031
36047070600,"Kings County, NY",69961
34039036700,"Westfield, NJ",69896
34003033100,"Maywood, NJ",69866
36059412302,"Rockville Centre, NY",69790
34023001902,"Edison, NJ",69781
36047063800,"Kings County, NY",69777
36081109900,"Queens County, NY",69714
36081049500,"Queens County, NY",69697
36081089200,"Queens County, NY",69645
36047075200,"Kings County, NY",69597
36059517901,"Bayville, NY",69564
34013021400,"Cedar Grove, NJ",69558
36081157903,"Bellerose Manor, Floral Park, NY",69506
36059300400,"Great Neck, NY",69446
36059413200,"Oceanside, NY",69438
36081136700,"Queens County, NY",69353
36081094500,"Queens County, NY",69345
36047000301,"Kings County, NY",69328
36081065703,"Queens County, NY",69299
34003055100,"Tenafly, NJ",69236
36059410900,"Valley Stream, NY",69223
36059410200,"Malverne, NY",69215
36059416300,"Atlantic Beach, NY",69212
34039036500,"Westfield, NJ",69200
36047017200,"Kings County, NY",69152
36059405301,"Franklin Square, NY",69146
36059411600,"Lawrence, NY",69138
36081066100,"Queens County, NY",69108
36059414700,"Merrick, NY",69100
34039036900,"Garwood, NJ",69095
36081145900,"Queens County, NY",69089
36081064101,"Queens County, NY",68998
34027042100,"Whippany, Hanover, NJ",68870
36059300300,"Great Neck, NY",68851
36059303201,"Garden City Park, NY",68851
36081157101,"Bellerose Manor, Bellerose, NY",68840
36059303202,"Garden City Park, NY",68813
34027042800,"Chatham, NJ",68806
36047074400,"Kings County, NY",68802
34039036301,"Clark, NJ",68778
36085015601,"Richmond County, NY",68769
34003054300,"Teaneck, NJ",68768
34039038102,"New Providence, NJ",68746
36047020400,"Kings County, NY",68728
36085015602,"Richmond County, NY",68684
36085017008,"Richmond County, NY",68660
36119007000,"Larchmont, NY",68655
36059412000,"Lynbrook, NY",68654
36081140902,"Queens County, NY",68431
36061014402,"Yorkville, New York, NY",68324
34023001504,"Edison, NJ",68255
36081141700,"Queens County, NY",68235
36081063301,"Queens County, NY",68192
36005031000,"Bronx County, NY",68174
36081067100,"Queens County, NY",68118
36081093401,"Queens County, NY",68104
36059517802,"Locust Valley, NY",68094
36061013600,"Upper East Side, New York, NY",68087
