"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
36061013200,"Upper East Side, New York, NY",57211
34023001804,"Edison, NJ",57203
36059405900,"West Hempstead, NY",57176
36005029700,"Bronx County, NY",57131
36005029302,"Bronx County, NY",57123
36081121500,"Queens County, NY",57114
36081117500,"Queens County, NY",57097
36081140901,"Queens County, NY",57092
34003011400,"Elmwood Park, NJ",57088
36047040600,"Kings County, NY",57077
36061006300,"Lower Manhattan, New York, NY",57063
36047007000,"Kings County, NY",57049
34039032901,"Union, NJ",57017
36081143500,"Queens County, NY",56942
34003030100,"Lodi, NJ",56929
36081071304,"Queens County, NY",56892
36047045400,"Kings County, NY",56864
34003002100,"Alpine, NJ",56807
36059416802,"Long Beach, NY",56724
34023009100,"Port Reading, Woodbridge Township, NJ",56718
36085016901,"Richmond County, NY",56715
36047026200,"Kings County, NY",56711
36061007000,"Kips Bay, New York, NY",56701
34003036100,"South Hackensack, NJ",56699
36081083700,"Queens County, NY",56696
36081051700,"Queens County, NY",56665
36047006700,"Kings County, NY",56660
36047058400,"Kings County, NY",56621
36061014900,"Lincoln Square, New York, NY",56617
34013007200,"Ironbound District, Newark, NJ",56585
36005031600,"Bronx County, NY",56553
34039038000,"Summit, NJ",56539
34039037800,"Summit, NJ",56535
36081145101,"Queens County, NY",56528
36081124100,"Queens County, NY",56524
36047027400,"Kings County, NY",56493
36061005200,"Midtown, New York, NY",56489
36047074600,"Kings County, NY",56477
36119001403,"Lincoln Park, Yonkers, NY",56464
34031124200,"Clifton, NJ",56454
34003046300,"Ridgefield Park, NJ",56452
36059300700,"Great Neck Plaza, NY",56443
36081071100,"Queens County, NY",56426
36005013000,"Bronx County, NY",56414
36005026400,"Bronx County, NY",56408
36047042600,"Kings County, NY",56402
36081113900,"Queens County, NY",56382
36081088901,"Queens County, NY",56362
34023001411,"Edison, NJ",56337
36047059600,"Kings County, NY",56337
36085004700,"Richmond County, NY",56287
36047000700,"Kings County, NY",56246
34023002000,"Metuchen, NJ",56244
34013013600,"Nutley, NJ",56226
36081024500,"Queens County, NY",56217
36085024800,"Richmond County, NY",56186
34027041000,"Boonton, NJ",56181
34013007600,"North Ironbound, Newark, NJ",56167
36081052100,"Queens County, NY",56115
36081093800,"Queens County, NY",56059
34017013400,"East Newark, NJ",56043
34023002605,"Colonia, Woodbridge Township, NJ",56031
36059416202,"Island Park, NY",56028
34013016900,"Montclair, NJ",56024
36081120500,"Queens County, NY",56023
36119003900,"North Side, Mount Vernon, NY",56019
36047053800,"Kings County, NY",56008
36081071701,"Queens County, NY",55991
34013014300,"Belleville, NJ",55985
36061005000,"Gramercy Park, New York, NY",55958
34017012900,"Kearny, NJ",55929
36061006400,"Gramercy Park, New York, NY",55928
36005025200,"Bronx County, NY",55916
36081003000,"Queens County, NY",55903
36081071305,"Queens County, NY",55889
34003011200,"Elmwood Park, NJ",55861
36081090700,"Queens County, NY",55856
34023003101,"Metuchen, NJ",55825
34039032500,"Hillside, NJ",55790
36085011201,"Richmond County, NY",55745
36047055800,"Kings County, NY",55712
34013016400,"Montclair, NJ",55690
36047044000,"Kings County, NY",55664
36047076000,"Kings County, NY",55640
34013007800,"Ironbound District, Newark, NJ",55636
34013019800,"Maplewood, NJ",55621
34023001903,"Edison, NJ",55595
36061011000,"Lenox Hill, New York, NY",55586
36005025400,"Bronx County, NY",55537
36081073900,"Queens County, NY",55535
34017015801,"West New York, NJ",55533
36119001301,"Park Hill, Yonkers, NY",55523
36047030200,"Kings County, NY",55508
36081115700,"Queens County, NY",55499
36047005602,"Kings County, NY",55485
36047039800,"Kings County, NY",55481
34017018600,"Hoboken, NJ",55477
36047026800,"Kings County, NY",55473
36047029800,"Kings County, NY",55462
36047062200,"Kings County, NY",55449
34013017500,"West Orange, NJ",55398
36047067000,"Kings County, NY",55394
36085027702,"Richmond County, NY",55365
36081056600,"Queens County, NY",55343
36059410300,"Valley Stream, NY",55266
36047063200,"Kings County, NY",55248
36061001001,"Lower Manhattan, New York, NY",55227
34027041701,"Lake Hiawatha, Parsippany-Troy Hills, NJ",55226
36081120300,"Queens County, NY",55221
36061031704,"Lower Manhattan, New York, NY",55197
34003048100,"River Edge, NJ",55180
34003015100,"Englewood, NJ",55138
36047066200,"Kings County, NY",55134
34003006201,"Cliffside Park, NJ",55129
36081029700,"Queens County, NY",55128
34017011300,"Constable Hook, Bayonne, NJ",55127
36005031200,"Bronx County, NY",55116
34013016500,"Montclair, NJ",55107
36047028200,"Kings County, NY",55091
36081079701,"Queens County, NY",55080
36047041200,"Kings County, NY",55068
36119005800,"New Rochelle, NY",55067
36081115500,"Queens County, NY",55061
34003046100,"Ridgefield Park, NJ",55050
36059416600,"Long Beach, NY",55048
36047038600,"Kings County, NY",55011
36047065000,"Kings County, NY",54986
34023002901,"Woodbridge, Woodbridge Township, NJ",54968
36047003400,"Kings County, NY",54967
36081072100,"Queens County, NY",54952
36047003600,"Kings County, NY",54940
36081080302,"Queens County, NY",54940
36047013800,"Kings County, NY",54909
36047043800,"Kings County, NY",54896
36085007000,"Richmond County, NY",54892
36081062900,"Queens County, NY",54838
34031264101,"Woodland Park, NJ",54830
34017001201,"The Heights, Jersey City, NJ",54828
36081013000,"Queens County, NY",54817
36081077904,"Queens County, NY",54790
36061031703,"Lower Manhattan, New York, NY",54773
34003030400,"Lodi, NJ",54748
34039033100,"Union, NJ",54746
36047028000,"Kings County, NY",54727
36081059300,"Queens County, NY",54721
34003019104,"Fort Lee, NJ",54719
34003041100,"Palisades Park, NJ",54711
34023007202,"Parlin, Sayreville, NJ",54671
36061007900,"Lower Manhattan, New York, NY",54668
36047043400,"Kings County, NY",54660
36061012400,"Lenox Hill, New York, NY",54652
34023007203,"Parlin, Sayreville, NJ",54651
36047024800,"Kings County, NY",54649
34039035700,"Rahway, NJ",54640
34003057200,"Wallington, NJ",54635
36081062100,"Queens County, NY",54633
36047018200,"Kings County, NY",54622
36047076800,"Kings County, NY",54573
36061007500,"Lower Manhattan, New York, NY",54567
36061001501,"Lower Manhattan, New York, NY",54543
36047043600,"Kings County, NY",54537
36061014602,"Upper East Side, New York, NY",54502
36047027800,"Kings County, NY",54478
36061013800,"Upper East Side, New York, NY",54438
36047039600,"Kings County, NY",54433
36005015200,"Bronx County, NY",54380
36059406201,"West Hempstead, NY",54378
36081001200,"Queens County, NY",54371
36081071303,"Queens County, NY",54335
34017012600,"Kearny, NJ",54311
36005029500,"Bronx County, NY",54274
36081057700,"Queens County, NY",54256
36047061002,"Kings County, NY",54236
36047055200,"Kings County, NY",54235
36081055600,"Queens County, NY",54229
36081122701,"Queens County, NY",54216
36061001502,"Lower Manhattan, New York, NY",54166
36047018800,"Kings County, NY",54165
36047004500,"Kings County, NY",54152
34017013100,"Kearny, NJ",54144
36005034500,"Bronx County, NY",54137
36047069601,"Kings County, NY",54123
34039033000,"Union, NJ",54084
34013017900,"West Orange, NJ",54062
34023001413,"Edison, NJ",54050
36081077300,"Queens County, NY",54031
36081056700,"Queens County, NY",54026
34031246300,"Wayne, NJ",53988
36061016002,"East Harlem, New York, NY",53974
36061016500,"Upper West Side, New York, NY",53974
36081118900,"Queens County, NY",53968
34023002500,"Iselin, Woodbridge Township, NJ",53958
34013007700,"Ironbound District, Newark, NJ",53946
36061008400,"Midtown, New York, NY",53890
36047026000,"Kings County, NY",53882
36085002001,"Richmond County, NY",53867
36081062700,"Queens County, NY",53840
36081025301,"Queens County, NY",53820
36047044400,"Kings County, NY",53773
36081049301,"Queens County, NY",53752
36119002403,"Southeast Yonkers, Yonkers, NY",53726
34023003401,"Sewaren, Woodbridge Township, NJ",53709
34013015300,"Bloomfield, NJ",53706
36081126500,"Queens County, NY",53686
34003054600,"Teaneck, NJ",53661
36061009600,"Midtown, New York, NY",53648
36081116700,"Queens County, NY",53642
34013015500,"Bloomfield, NJ",53625
36085001800,"Richmond County, NY",53616
34003028001,"Leonia, NJ",53610
36081045800,"Queens County, NY",53609
34017013900,"Harrison, NJ",53595
34023003700,"Carteret, NJ",53569
36047030400,"Kings County, NY",53544
34023003500,"Carteret, NJ",53483
34003006300,"Cliffside Park, NJ",53482
34013015800,"Bloomfield, NJ",53468
34017011400,"Constable Hook, Bayonne, NJ",53467
36081031700,"Queens County, NY",53464
36081076901,"Queens County, NY",53463
36081126700,"Queens County, NY",53461
34003003500,"Bergenfield, NJ",53453
36047021000,"Kings County, NY",53449
34023007402,"South Amboy, NJ",53428
36081000800,"Queens County, NY",53422
34017010200,"Bayonne, NJ",53398
36005032600,"Bronx County, NY",53371
36047060600,"Kings County, NY",53367
36061015700,"Upper West Side, New York, NY",53283
36081045700,"Queens County, NY",53241
34013007100,"Ironbound District, Newark, NJ",53214
36059412400,"Rockville Centre, NY",53192
36047006500,"Kings County, NY",53184
36085030301,"Richmond County, NY",53166
36047006400,"Kings County, NY",53137
36047012801,"Kings County, NY",53099
34013015200,"Bloomfield, NJ",53092
36081011200,"Queens County, NY",53064
36047028800,"Kings County, NY",53062
36081084602,"Queens County, NY",53060
34031124800,"Clifton, NJ",53044
34023001805,"Edison, NJ",53034
34003029100,"Little Ferry, NJ",53021
36081071900,"Queens County, NY",53017
36047020800,"Kings County, NY",53000
36081070900,"Queens County, NY",52993
34023009200,"Sayreville, NJ",52985
36081068700,"Queens County, NY",52985
36061009000,"Midtown, New York, NY",52983
36081077907,"Queens County, NY",52967
34013015100,"Bloomfield, NJ",52963
36085018701,"Richmond County, NY",52890
34003012001,"East Rutherford, NJ",52885
36081116100,"Queens County, NY",52859
34023002703,"Avenel, Woodbridge Township, NJ",52855
36119001505,"Southeast Yonkers, Yonkers, NY",52841
36081056000,"Queens County, NY",52807
36081072900,"Queens County, NY",52806
36081065702,"Queens County, NY",52799
34017010600,"Constable Hook, Bayonne, NJ",52797
34017013000,"Kearny, NJ",52792
34003019202,"Fort Lee, NJ",52772
36081014700,"Queens County, NY",52750
36081001600,"Queens County, NY",52745
36047049600,"Kings County, NY",52742
34017014900,"North Bergen, NJ",52737
34003054500,"Teaneck, NJ",52693
36081058700,"Queens County, NY",52661
36047017100,"Kings County, NY",52651
36047053200,"Kings County, NY",52647
34017014400,"North Bergen, NJ",52647
36047028600,"Kings County, NY",52633
36061015300,"Lincoln Square, New York, NY",52620
36081071702,"Queens County, NY",52612
36081029300,"Queens County, NY",52581
36081076902,"Queens County, NY",52565
34023007500,"South Amboy, NJ",52560
36081006202,"Queens County, NY",52541
34003019102,"Fort Lee, NJ",52506
36061011700,"Hell's Kitchen, New York, NY",52489
36081074300,"Queens County, NY",52485
36081009500,"Queens County, NY",52459
34023003002,"Woodbridge, Woodbridge Township, NJ",52458
34017000400,"The Heights, Jersey City, NJ",52432
36085003600,"Richmond County, NY",52423
36059409900,"Valley Stream, NY",52420
36081080900,"Queens County, NY",52408
34023002200,"Metuchen, NJ",52393
36047037402,"Kings County, NY",52375
34003041200,"Palisades Park, NJ",52373
36061005501,"Lower Manhattan, New York, NY",52370
36047101200,"Kings County, NY",52369
36047013400,"Kings County, NY",52366
36081077906,"Queens County, NY",52362
36081047500,"Queens County, NY",52341
36081047900,"Queens County, NY",52339
36081069701,"Queens County, NY",52329
36047000100,"Kings County, NY",52304
36081003100,"Queens County, NY",52300
36061009800,"Midtown, New York, NY",52185
36047018000,"Kings County, NY",52141
36047057000,"Kings County, NY",52134
36081013400,"Queens County, NY",52125
36047043200,"Kings County, NY",52082
36047039400,"Kings County, NY",52073
36061012500,"Midtown, New York, NY",52066
36081003800,"Queens County, NY",52022
36081101002,"Queens County, NY",52011
36061011600,"Lenox Hill, New York, NY",51989
36047015200,"Kings County, NY",51959
36081009700,"Queens County, NY",51957
34003015500,"Englewood, NJ",51946
36047041800,"Kings County, NY",51941
36081020500,"Queens County, NY",51927
36085012806,"Richmond County, NY",51916
36047058200,"Kings County, NY",51896
36059416401,"Long Beach, NY",51889
36081025500,"Queens County, NY",51889
36081012800,"Queens County, NY",51867
36047019600,"Kings County, NY",51866
36061009100,"Midtown, New York, NY",51851
36059414502,"Freeport, NY",51840
36059405100,"Elmont, NY",51835
36081022002,"Queens County, NY",51825
36047000900,"Kings County, NY",51819
36081014000,"Queens County, NY",51795
36081086400,"Queens County, NY",51780
34023003001,"Woodbridge, Woodbridge Township, NJ",51766
34023001702,"Edison, NJ",51757
36047004900,"Kings County, NY",51704
36081134700,"Queens County, NY",51664
36047055400,"Kings County, NY",51646
36081061900,"Queens County, NY",51625
36081008600,"Queens County, NY",51616
34017014501,"North Bergen, NJ",51604
36047026600,"Kings County, NY",51603
36061001300,"Lower Manhattan, New York, NY",51584
36081048300,"Queens County, NY",51555
34039035000,"Linden, NJ",51545
36005024600,"Bronx County, NY",51539
36081055200,"Queens County, NY",51532
36047054200,"Kings County, NY",51528
36081069300,"Queens County, NY",51520
34017018200,"Weehawken, NJ",51516
36061003900,"Lower Manhattan, New York, NY",51497
36081074500,"Queens County, NY",51486
36047028400,"Kings County, NY",51481
36085012804,"Richmond County, NY",51452
36047000502,"Kings County, NY",51443
36047075000,"Kings County, NY",51398
36081024700,"Queens County, NY",51392
36047054600,"Kings County, NY",51373
36081011700,"Queens County, NY",51342
36081025700,"Queens County, NY",51324
36047038800,"Kings County, NY",51316
34003030300,"Lodi, NJ",51297
36081077500,"Queens County, NY",51295
36047058600,"Kings County, NY",51286
34013007400,"Newark, NJ",51273
36081014900,"Queens County, NY",51265
36005023200,"Bronx County, NY",51223
36081023000,"Queens County, NY",51214
36005024800,"Bronx County, NY",51152
34003023200,"Hackensack, NJ",51134
36085012500,"Richmond County, NY",51081
34013007900,"Ironbound District, Newark, NJ",51054
36081024300,"Queens County, NY",51025
36059303900,"Westbury, NY",51016
36061008800,"Midtown, New York, NY",50998
36047150200,"Kings County, NY",50984
36047017800,"Kings County, NY",50942
36047013600,"Kings County, NY",50932
36085011202,"Richmond County, NY",50926
36081011100,"Queens County, NY",50906
36047025000,"Kings County, NY",50900
36085000800,"Richmond County, NY",50833
36047013000,"Kings County, NY",50808
36081055800,"Queens County, NY",50798
36081086100,"Queens County, NY",50752
36047025200,"Kings County, NY",50740
36047056100,"Kings County, NY",50735
34039038400,"Scotch Plains, NJ",50728
36081047300,"Queens County, NY",50727
34039032700,"Union, NJ",50726
36081094700,"Queens County, NY",50667
36085029102,"Richmond County, NY",50656
36059405200,"Elmont, NY",50640
36005016400,"Bronx County, NY",50588
36047059300,"Kings County, NY",50548
34017010100,"Bayonne, NJ",50539
36081146300,"Queens County, NY",50527
36081067900,"Queens County, NY",50506
36081047800,"Queens County, NY",50504
36047060800,"Kings County, NY",50503
34017015201,"West New York, NJ",50501
36047036002,"Kings County, NY",50501
34017010800,"Constable Hook, Bayonne, NJ",50493
36047019400,"Kings County, NY",50489
34023002902,"Woodbridge, Woodbridge Township, NJ",50452
34017007200,"Downtown Jersey City, Hoboken, NJ",50441
36081016900,"Queens County, NY",50431
36081091900,"Queens County, NY",50429
36081032900,"Queens County, NY",50386
34023003201,"Woodbridge Township, NJ",50352
36047044200,"Kings County, NY",50339
34003021300,"Garfield, NJ",50339
36047061004,"Kings County, NY",50308
36081015500,"Queens County, NY",50274
36047004100,"Kings County, NY",50266
36061007700,"Lower Manhattan, New York, NY",50253
36081120100,"Queens County, NY",50246
36047046800,"Kings County, NY",50239
36081083800,"Queens County, NY",50219
36047036001,"Kings County, NY",50216
36081005800,"Queens County, NY",50200
34031124601,"Clifton, NJ",50126
34031124323,"Clifton, NJ",50094
36061004900,"Lower Manhattan, New York, NY",50083
36081054800,"Queens County, NY",50074
36005013200,"Bronx County, NY",50074
36047042800,"Kings County, NY",50041
36047040400,"Kings County, NY",50037
36047056900,"Kings County, NY",50028
36081073700,"Queens County, NY",50024
36081011500,"Queens County, NY",50013
36081085900,"Queens County, NY",50004
36061020500,"Upper Manhattan, New York, NY",49963
36047046201,"Kings County, NY",49953
36119001402,"Lincoln Park, Yonkers, NY",49930
36059414303,"Freeport, NY",49915
36061001401,"Lower East Side, New York, NY",49911
34003021100,"Garfield, NJ",49901
36047048100,"Kings County, NY",49897
36081059500,"Queens County, NY",49890
36119005701,"New Rochelle, NY",49882
36081115900,"Queens County, NY",49877
34027041706,"Parsippany, Parsippany-Troy Hills, NJ",49857
36081030903,"Queens County, NY",49834
36081045000,"Queens County, NY",49828
36047029200,"Kings County, NY",49796
36081047000,"Queens County, NY",49791
34003036200,"Moonachie, NJ",49791
36047057800,"Kings County, NY",49784
36085003300,"Richmond County, NY",49765
36081028500,"Queens County, NY",49738
34017010700,"Constable Hook, Bayonne, NJ",49713
34003023601,"Hackensack, NJ",49710
34017012800,"Kearny, NJ",49704
36085003900,"Richmond County, NY",49699
34023003203,"Woodbridge Township, NJ",49685
36081053900,"Queens County, NY",49645
36085009700,"Richmond County, NY",49628
36047067400,"Kings County, NY",49621
36081045900,"Queens County, NY",49620
36081077905,"Queens County, NY",49611
34031124700,"Clifton, NJ",49601
36061014500,"Lincoln Square, New York, NY",49585
36085030302,"Richmond County, NY",49579
36081000200,"Queens County, NY",49567
36061002100,"Lower Manhattan, New York, NY",49545
36081118700,"Queens County, NY",49518
36047024400,"Kings County, NY",49507
36059405000,"Elmont, NY",49499
36061002700,"Lower Manhattan, New York, NY",49485
36081030902,"Queens County, NY",49444
36061019900,"Upper Manhattan, New York, NY",49438
34003057101,"Wallington, NJ",49435
36081062300,"Queens County, NY",49435
34039031500,"Elizabeth, NJ",49434
34023001901,"Edison, NJ",49413
36047040800,"Kings County, NY",49385
36081013600,"Queens County, NY",49385
36081048100,"Queens County, NY",49383
36047006200,"Kings County, NY",49379
34039032600,"Union, NJ",49379
36081061301,"Queens County, NY",49355
36059411000,"Inwood, NY",49349
36061009500,"Midtown, New York, NY",49334
34003030200,"Lodi, NJ",49326
36047015300,"Kings County, NY",49325
34023007600,"South Amboy, NJ",49319
36081004001,"Queens County, NY",49310
36047019200,"Kings County, NY",49301
36081055400,"Queens County, NY",49298
36047043000,"Kings County, NY",49284
36047005800,"Kings County, NY",49264
36061020300,"Upper Manhattan, New York, NY",49249
36059416702,"Long Beach, NY",49245
36061006200,"Kips Bay, New York, NY",49194
36047025400,"Kings County, NY",49181
34003018100,"Fairview, NJ",49164
36061004200,"Lower Manhattan, New York, NY",49131
36047042200,"Kings County, NY",49123
36081018900,"Queens County, NY",49110
36047006000,"Kings County, NY",49108
36081068300,"Queens County, NY",49089
36081100801,"Queens County, NY",49042
36061013100,"Midtown, New York, NY",49022
36047068200,"Kings County, NY",49001
36081018501,"Queens County, NY",48984
36081044800,"Queens County, NY",48944
36081047200,"Queens County, NY",48936
36047030000,"Kings County, NY",48915
36061004800,"Gramercy Park, New York, NY",48894
36081000700,"Queens County, NY",48891
36047056600,"Kings County, NY",48890
36005034300,"Bronx County, NY",48866
34013000400,"Upper Roseville, Newark, NJ",48866
36081057900,"Queens County, NY",48846
36081014500,"Queens County, NY",48837
36047006800,"Kings County, NY",48771
34003023302,"Hackensack, NJ",48726
36081005400,"Queens County, NY",48723
34013017600,"West Orange, NJ",48722
36081048000,"Queens County, NY",48704
34023003800,"Carteret, NJ",48693
36081010300,"Queens County, NY",48644
36047052800,"Kings County, NY",48636
36061006900,"Lower Manhattan, New York, NY",48627
36005028500,"Bronx County, NY",48616
34017013200,"Kearny, NJ",48614
34039030701,"Elizabeth, NJ",48602
36047059000,"Kings County, NY",48555
36047012600,"Kings County, NY",48531
36081010000,"Queens County, NY",48521
36047046202,"Kings County, NY",48507
36005026601,"Bronx County, NY",48507
36047016700,"Kings County, NY",48500
36061002900,"Chinatown, New York, NY",48492
36047027600,"Kings County, NY",48479
36081084601,"Queens County, NY",48474
34013015400,"Bloomfield, NJ",48473
36061027500,"Upper Manhattan, New York, NY",48450
36081079702,"Queens County, NY",48445
36047019000,"Kings County, NY",48435
34003021400,"Garfield, NJ",48435
36081005300,"Queens County, NY",48434
34017014300,"North Bergen, NJ",48416
36081050500,"Queens County, NY",48398
36047050202,"Kings County, NY",48389
34003021500,"Garfield, NJ",48385
36047059100,"Kings County, NY",48375
36047058000,"Kings County, NY",48372
34003054400,"Teaneck, NJ",48369
36081009600,"Queens County, NY",48299
34017005900,"Greenville, Jersey City, NJ",48296
36061010000,"Midtown East, New York, NY",48290
36081015300,"Queens County, NY",48270
34017000500,"The Heights, Jersey City, NJ",48262
36085024700,"Richmond County, NY",48225
36047046000,"Kings County, NY",48208
36061015400,"Upper East Side, New York, NY",48207
36005016600,"Bronx County, NY",48182
36059409800,"Elmont, NY",48118
36047062600,"Kings County, NY",48112
36081006900,"Queens County, NY",48108
34017002900,"McGinley Square, Jersey City, NJ",48093
34031175801,"Passaic, NJ",48018
36047011600,"Kings County, NY",47961
34023009000,"Avenel, Woodbridge Township, NJ",47960
36081003600,"Queens County, NY",47955
36061004300,"Lower Manhattan, New York, NY",47944
36047026400,"Kings County, NY",47903
34017010300,"Bayonne, NJ",47902
34017001000,"The Heights, Jersey City, NJ",47847
36061004700,"Lower Manhattan, New York, NY",47826
36119000203,"Ludlow, Yonkers, NY",47825
36047050000,"Kings County, NY",47822
34003021200,"Garfield, NJ",47808
36081003400,"Queens County, NY",47736
34017018702,"Hoboken, NJ",47695
36047021200,"Kings County, NY",47692
36081092500,"Queens County, NY",47680
34023002701,"Avenel, Woodbridge Township, NJ",47667
36081011800,"Queens County, NY",47666
36081012500,"Queens County, NY",47656
36081025302,"Queens County, NY",47655
36047020000,"Kings County, NY",47649
34013015900,"Bloomfield, NJ",47613
36061004100,"Lower Manhattan, New York, NY",47604
36061016900,"Upper West Side, New York, NY",47580
34031124500,"Clifton, NJ",47562
36061010900,"Garment District, New York, NY",47549
36081085700,"Queens County, NY",47518
36081001000,"Queens County, NY",47511
36081112300,"Queens County, NY",47511
36047027200,"Kings County, NY",47487
36081056400,"Queens County, NY",47480
36081030904,"Queens County, NY",47465
36047059800,"Kings County, NY",47439
36081118500,"Queens County, NY",47423
36081125700,"Queens County, NY",47410
36005031800,"Bronx County, NY",47362
34017014600,"North Bergen, NJ",47359
34031125000,"Clifton, NJ",47357
36081046300,"Queens County, NY",47343
36047033600,"Kings County, NY",47337
36081048500,"Queens County, NY",47304
36061014601,"Upper East Side, New York, NY",47288
34017000600,"The Heights, Jersey City, NJ",47284
34003018200,"Fairview, NJ",47244
34039035400,"Linden, NJ",47217
36081002400,"Queens County, NY",47212
36047055700,"Kings County, NY",47202
36059404800,"South Floral Park, NY",47193
36081002600,"Queens County, NY",47182
36047050100,"Kings County, NY",47150
36081011300,"Queens County, NY",47139
36047014200,"Kings County, NY",47110
36061005502,"Lower Manhattan, New York, NY",47109
34039032400,"Hillside, NJ",47106
36047015100,"Kings County, NY",47081
34013014700,"Belleville, NJ",47079
36047057500,"Kings County, NY",47062
36005016200,"Bronx County, NY",47032
34017005400,"Greenville, Jersey City, NJ",47018
36081007300,"Queens County, NY",46957
36059414501,"Freeport, NY",46916
36081018700,"Queens County, NY",46912
36047076200,"Kings County, NY",46899
36081005900,"Queens County, NY",46885
36081117100,"Queens County, NY",46859
36047042400,"Kings County, NY",46826
36047015900,"Kings County, NY",46823
36005030000,"Bronx County, NY",46818
36085011402,"Richmond County, NY",46752
36047042000,"Kings County, NY",46736
34017002400,"Downtown Jersey City, Jersey City, NJ",46680
34017014200,"North Bergen, NJ",46654
36081009800,"Queens County, NY",46606
36081049302,"Queens County, NY",46596
36081015400,"Queens County, NY",46596
36047009400,"Kings County, NY",46584
34039035200,"Linden, NJ",46519
36061017300,"Upper West Side, New York, NY",46513
36047046400,"Kings County, NY",46485
34039036100,"Winfield, NJ",46484
36047016000,"Kings County, NY",46475
34039032002,"Elizabeth, NJ",46468
36081059100,"Queens County, NY",46468
36061004500,"Lower Manhattan, New York, NY",46466
36047053000,"Kings County, NY",46461
36081011000,"Queens County, NY",46461
36085011401,"Richmond County, NY",46440
36081024900,"Queens County, NY",46435
36059412900,"Baldwin, NY",46420
36059404901,"Elmont, NY",46409
34003021600,"Garfield, NJ",46374
36061007100,"Lower Manhattan, New York, NY",46348
36085007500,"Richmond County, NY",46341
34003019303,"Palisades Park, NJ",46331
36047069000,"Kings County, NY",46325
36081144700,"Queens County, NY",46293
36061001600,"Chinatown, New York, NY",46285
36081018502,"Queens County, NY",46255
34013014600,"Belleville, NJ",46239
36061001200,"Lower Manhattan, New York, NY",46209
36061030700,"Inwood, New York, NY",46174
34013000500,"Upper Roseville, Newark, NJ",46172
36081058100,"Queens County, NY",46136
36061003700,"Lower Manhattan, New York, NY",46123
34023008900,"Edison, NJ",46118
34017014000,"North Bergen, NJ",46095
36081022001,"Queens County, NY",46082
36047044800,"Kings County, NY",46074
36047102400,"Kings County, NY",46067
34017019300,"Hoboken, NJ",46064
34023006001,"New Brunswick, NJ",46027
36061009200,"Midtown, New York, NY",46023
36081055500,"Queens County, NY",46021
36081012000,"Queens County, NY",46016
36081003300,"Queens County, NY",45998
36081058500,"Queens County, NY",45967
36085017007,"Richmond County, NY",45965
34039036600,"Westfield, NJ",45956
36005026602,"Bronx County, NY",45910
36081053100,"Queens County, NY",45905
36047015500,"Kings County, NY",45904
36081004401,"Queens County, NY",45898
34017002200,"Historic Downtown, Jersey City, NJ",45891
36081023200,"Queens County, NY",45877
34017013500,"Harrison, NJ",45858
36081015600,"Queens County, NY",45826
36081014202,"Queens County, NY",45821
34039034700,"Linden, NJ",45816
36061017900,"Upper West Side, New York, NY",45811
36081041300,"Queens County, NY",45801
34039031602,"Elizabeth, NJ",45784
34017014502,"North Bergen, NJ",45781
36081010200,"Queens County, NY",45745
34017014700,"North Bergen, NJ",45741
36081028700,"Queens County, NY",45730
36081116300,"Queens County, NY",45662
36047049000,"Kings County, NY",45658
34039034500,"Linden, NJ",45626
36047047000,"Kings County, NY",45625
36081038302,"Queens County, NY",45604
36061005600,"Midtown, New York, NY",45590
36081016100,"Queens County, NY",45582
36061000800,"Lower Manhattan, New York, NY",45576
36005035100,"Bronx County, NY",45573
36081025900,"Queens County, NY",45545
36061013900,"Hell's Kitchen, New York, NY",45536
36085014100,"Richmond County, NY",45505
36061005800,"Midtown, New York, NY",45505
36059517101,"Glen Cove, NY",45503
36081010400,"Queens County, NY",45487
36047099200,"Kings County, NY",45458
36081012400,"Queens County, NY",45434
36005040900,"Bronx County, NY",45420
34017011100,"Constable Hook, Bayonne, NJ",45411
36081010600,"Queens County, NY",45400
36047007500,"Kings County, NY",45382
36047010600,"Kings County, NY",45354
36081005200,"Queens County, NY",45340
36081005100,"Queens County, NY",45331
36081085300,"Queens County, NY",45323
36047008400,"Kings County, NY",45305
34017000902,"Journal Square, Jersey City, NJ",45270
34013019300,"South Orange, NJ",45266
36081025100,"Queens County, NY",45253
36085007400,"Richmond County, NY",45232
36061018700,"Bloomingdale, New York, NY",45219
36081054500,"Queens County, NY",45202
36081048400,"Queens County, NY",45128
36119006100,"New Rochelle, NY",45093
34013000600,"Upper Roseville, Newark, NJ",45030
36081014800,"Queens County, NY",45016
36061019500,"Upper West Side, New York, NY",45005
34003041301,"Palisades Park, NJ",44994
36085000600,"Richmond County, NY",44988
36081002800,"Queens County, NY",44985
34023003300,"Perth Amboy, NJ",44983
36081048200,"Queens County, NY",44979
36081004200,"Queens County, NY",44976
36005025600,"Bronx County, NY",44956
34017007400,"The Waterfront, Jersey City, NJ",44900
36081003200,"Queens County, NY",44887
36047048800,"Kings County, NY",44869
36081021200,"Queens County, NY",44860
34003023402,"Hackensack, NJ",44851
34013015600,"Bloomfield, NJ",44827
36047036600,"Kings County, NY",44819
36047072000,"Kings County, NY",44800
36081021600,"Queens County, NY",44794
36047057300,"Kings County, NY",44793
34017014800,"North Bergen, NJ",44781
36085017300,"Richmond County, NY",44750
36081007500,"Queens County, NY",44747
36005045600,"Bronx County, NY",44747
